expansion,product_label,version,rarity,from_eur,from_cents,available_count,public_product_path,source_date
OTS Tournament Pack 28,Blue Eyes White Dragon,,,90.00,9000,146,/en/YuGiOh/Products/Singles/OTS-Tournament-Pack-28/Blue-Eyes-White-Dragon,2026-08-04
Power of Chaos Kaiba the Revenge,Blue Eyes White Dragon,,,1.00,100,283,/en/YuGiOh/Products/Singles/Power-of-Chaos-Kaiba-the-Revenge/Blue-Eyes-White-Dragon,2026-08-04
Premium Gold 2,Blue Eyes White Dragon,,,1.50,150,229,/en/YuGiOh/Products/Singles/Premium-Gold-2/Blue-Eyes-White-Dragon,2026-08-04
Prismatic God Box,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,2.00,200,27,/en/YuGiOh/Products/Singles/Prismatic-God-Box/Blue-Eyes-White-Dragon-V1-Ultra-Rare,2026-08-04
Prismatic God Box,Blue Eyes White Dragon V2 Ultimate Rare,V2,Ultimate Rare,29.50,2950,13,/en/YuGiOh/Products/Singles/Prismatic-God-Box/Blue-Eyes-White-Dragon-V2-Ultimate-Rare,2026-08-04
Promos OCG,Blue Eyes White Dragon V1 Quarter Century Secret Rare,V1,Quarter Century Secret Rare,219.00,21900,3,/en/YuGiOh/Products/Singles/Promos-OCG/Blue-Eyes-White-Dragon-V1-Quarter-Century-Secret-Rare,2026-08-04
Promos OCG,Blue Eyes White Dragon V2 Parallel Rare,V2,Rare,18.00,1800,27,/en/YuGiOh/Products/Singles/Promos-OCG/Blue-Eyes-White-Dragon-V2-Parallel-Rare,2026-08-04
Quarter Century Art Collection,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,0.30,30,59,/en/YuGiOh/Products/Singles/Quarter-Century-Art-Collection/Blue-Eyes-White-Dragon-V1-Ultra-Rare,2026-08-04
Quarter Century Art Collection,Blue Eyes White Dragon V10 Quarter Century Secret Rare,V10,Quarter Century Secret Rare,159.00,15900,9,/en/YuGiOh/Products/Singles/Quarter-Century-Art-Collection/Blue-Eyes-White-Dragon-V10-Quarter-Century-Secret-Rare,2026-08-04
Quarter Century Art Collection,Blue Eyes White Dragon V2 Secret Rare,V2,Secret Rare,0.50,50,38,/en/YuGiOh/Products/Singles/Quarter-Century-Art-Collection/Blue-Eyes-White-Dragon-V2-Secret-Rare,2026-08-04
Quarter Century Art Collection,Blue Eyes White Dragon V3 Secret Rare,V3,Secret Rare,2.90,290,17,/en/YuGiOh/Products/Singles/Quarter-Century-Art-Collection/Blue-Eyes-White-Dragon-V3-Secret-Rare,2026-08-04
Quarter Century Art Collection,Blue Eyes White Dragon V4 Secret Rare,V4,Secret Rare,2.95,295,30,/en/YuGiOh/Products/Singles/Quarter-Century-Art-Collection/Blue-Eyes-White-Dragon-V4-Secret-Rare,2026-08-04
Quarter Century Art Collection,Blue Eyes White Dragon V5 Secret Rare,V5,Secret Rare,2.40,240,22,/en/YuGiOh/Products/Singles/Quarter-Century-Art-Collection/Blue-Eyes-White-Dragon-V5-Secret-Rare,2026-08-04
Quarter Century Art Collection,Blue Eyes White Dragon V6 Quarter Century Secret Rare,V6,Quarter Century Secret Rare,14.00,1400,19,/en/YuGiOh/Products/Singles/Quarter-Century-Art-Collection/Blue-Eyes-White-Dragon-V6-Quarter-Century-Secret-Rare,2026-08-04
Quarter Century Art Collection,Blue Eyes White Dragon V7 Quarter Century Secret Rare,V7,Quarter Century Secret Rare,20.00,2000,10,/en/YuGiOh/Products/Singles/Quarter-Century-Art-Collection/Blue-Eyes-White-Dragon-V7-Quarter-Century-Secret-Rare,2026-08-04
Quarter Century Art Collection,Blue Eyes White Dragon V8 Quarter Century Secret Rare,V8,Quarter Century Secret Rare,29.99,2999,7,/en/YuGiOh/Products/Singles/Quarter-Century-Art-Collection/Blue-Eyes-White-Dragon-V8-Quarter-Century-Secret-Rare,2026-08-04
Quarter Century Art Collection,Blue Eyes White Dragon V9 Quarter Century Secret Rare,V9,Quarter Century Secret Rare,16.00,1600,11,/en/YuGiOh/Products/Singles/Quarter-Century-Art-Collection/Blue-Eyes-White-Dragon-V9-Quarter-Century-Secret-Rare,2026-08-04
Quarter Century Bonanza,Blue Eyes White Dragon V1 Platinum Secret Rare,V1,Platinum Secret Rare,4.00,400,408,/en/YuGiOh/Products/Singles/Quarter-Century-Bonanza/Blue-Eyes-White-Dragon-V1-Platinum-Secret-Rare,2026-08-04
Quarter Century Bonanza,Blue Eyes White Dragon V2 Quarter Century Secret Rare,V2,Quarter Century Secret Rare,120.00,12000,80,/en/YuGiOh/Products/Singles/Quarter-Century-Bonanza/Blue-Eyes-White-Dragon-V2-Quarter-Century-Secret-Rare,2026-08-04
Quarter Century Chronicle sidePride,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,4.98,498,5,/en/YuGiOh/Products/Singles/Quarter-Century-Chronicle-sidePride/Blue-Eyes-White-Dragon-V1-Ultra-Rare,2026-08-04
Quarter Century Chronicle sidePride,Blue Eyes White Dragon V2 Secret Rare,V2,Secret Rare,17.00,1700,18,/en/YuGiOh/Products/Singles/Quarter-Century-Chronicle-sidePride/Blue-Eyes-White-Dragon-V2-Secret-Rare,2026-08-04
Quarter Century Chronicle sidePride,Blue Eyes White Dragon V3 Quarter Century Secret Rare,V3,Quarter Century Secret Rare,310.00,31000,4,/en/YuGiOh/Products/Singles/Quarter-Century-Chronicle-sidePride/Blue-Eyes-White-Dragon-V3-Quarter-Century-Secret-Rare,2026-08-04
Quarter Century Chronicle sidePride,Blue Eyes White Dragon V4 Ultimate Rare,V4,Ultimate Rare,69.95,6995,5,/en/YuGiOh/Products/Singles/Quarter-Century-Chronicle-sidePride/Blue-Eyes-White-Dragon-V4-Ultimate-Rare,2026-08-04
Quarter Century Duelist Box,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,0.99,99,19,/en/YuGiOh/Products/Singles/Quarter-Century-Duelist-Box/Blue-Eyes-White-Dragon-V1-Ultra-Rare,2026-08-04
Quarter Century Duelist Box,Blue Eyes White Dragon V2 Secret Rare,V2,Secret Rare,9.00,900,8,/en/YuGiOh/Products/Singles/Quarter-Century-Duelist-Box/Blue-Eyes-White-Dragon-V2-Secret-Rare,2026-08-04
Quarter Century Duelist Box,Blue Eyes White Dragon V3 Quarter Century Secret Rare,V3,Quarter Century Secret Rare,69.90,6990,8,/en/YuGiOh/Products/Singles/Quarter-Century-Duelist-Box/Blue-Eyes-White-Dragon-V3-Quarter-Century-Secret-Rare,2026-08-04
Quarter Century Stampede,Blue Eyes White Dragon V1 Quarter Century Secret Rare,V1,Quarter Century Secret Rare,40.00,4000,151,/en/YuGiOh/Products/Singles/Quarter-Century-Stampede/Blue-Eyes-White-Dragon-V1-Quarter-Century-Secret-Rare,2026-08-04
Quarter Century Stampede,Blue Eyes White Dragon V2 Platinum Secret Rare,V2,Platinum Secret Rare,2.00,200,270,/en/YuGiOh/Products/Singles/Quarter-Century-Stampede/Blue-Eyes-White-Dragon-V2-Platinum-Secret-Rare,2026-08-04
Quarter Century Stampede,Blue Eyes White Dragon V3 Platinum Secret Rare,V3,Platinum Secret Rare,1.90,190,274,/en/YuGiOh/Products/Singles/Quarter-Century-Stampede/Blue-Eyes-White-Dragon-V3-Platinum-Secret-Rare,2026-08-04
Quarter Century Stampede,Blue Eyes White Dragon V4 Quarter Century Secret Rare,V4,Quarter Century Secret Rare,10.50,1050,165,/en/YuGiOh/Products/Singles/Quarter-Century-Stampede/Blue-Eyes-White-Dragon-V4-Quarter-Century-Secret-Rare,2026-08-04
Quarter Century Stampede,Blue Eyes White Dragon V5 Quarter Century Secret Rare,V5,Quarter Century Secret Rare,12.99,1299,195,/en/YuGiOh/Products/Singles/Quarter-Century-Stampede/Blue-Eyes-White-Dragon-V5-Quarter-Century-Secret-Rare,2026-08-04
Rarity Collection 5,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,0.99,99,1261,/en/YuGiOh/Products/Singles/Rarity-Collection-5/Blue-Eyes-White-Dragon-V1-Ultra-Rare,2026-08-04
Rarity Collection 5,Blue Eyes White Dragon V2 Starlight Rare,V2,Starlight Rare,13.50,1350,531,/en/YuGiOh/Products/Singles/Rarity-Collection-5/Blue-Eyes-White-Dragon-V2-Starlight-Rare,2026-08-04
Retro Pack,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,5.99,599,133,/en/YuGiOh/Products/Singles/Retro-Pack/Blue-Eyes-White-Dragon-V1-Ultra-Rare,2026-08-04
