public_product_path,canonical_url,expansion,product_label,version,rarity,edition,language,finish,printed_code,from_status,from_cents,from_eur,available_count,discovered_via,detail_attempted,detail_ok,fields_present,fields_absent,source_date
/en/YuGiOh/Products/Singles/7-Eleven-Collaboration-Campaign/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/7-Eleven-Collaboration-Campaign/Blue-Eyes-White-Dragon,7 Eleven Collaboration Campaign,Blue Eyes White Dragon,,,,,,,priced,1195,11.95,38,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Animation-Chronicle-2022/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Animation-Chronicle-2022/Blue-Eyes-White-Dragon,Animation Chronicle 2022,Blue Eyes White Dragon,,,,,,,priced,18500,185.00,16,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Anniversary-Pack/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Anniversary-Pack/Blue-Eyes-White-Dragon,Anniversary Pack,Blue Eyes White Dragon,,,,,,,priced,490,4.90,203,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Banzai-Promos/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Banzai-Promos/Blue-Eyes-White-Dragon,Banzai Promos,Blue Eyes White Dragon,,,,,,,priced,5,0.05,217,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Battles-of-Legend-Monster-Mayhem/Blue-Eyes-White-Dragon-V1-Secret-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Battles-of-Legend-Monster-Mayhem/Blue-Eyes-White-Dragon-V1-Secret-Rare,Battles of Legend Monster Mayhem,Blue Eyes White Dragon V1 Secret Rare,V1,Secret Rare,,,,,priced,500,5.00,518,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Battles-of-Legend-Monster-Mayhem/Blue-Eyes-White-Dragon-V2-Starlight-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Battles-of-Legend-Monster-Mayhem/Blue-Eyes-White-Dragon-V2-Starlight-Rare,Battles of Legend Monster Mayhem,Blue Eyes White Dragon V2 Starlight Rare,V2,Starlight Rare,,,,,priced,6999,69.99,54,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Beginners-Edition-1-2011/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Beginners-Edition-1-2011/Blue-Eyes-White-Dragon,Beginners Edition 1 2011,Blue Eyes White Dragon,,,,,,,priced,1395,13.95,4,versions,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Beginners-Edition-1/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Beginners-Edition-1/Blue-Eyes-White-Dragon,Beginners Edition 1,Blue Eyes White Dragon,,,,,,,priced,990,9.90,5,versions,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Booster-Pack-Tin/Blue-Eyes-White-Dragon-V-1,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Booster-Pack-Tin/Blue-Eyes-White-Dragon-V-1,Booster Pack Tin,Blue Eyes White Dragon V 1,V1,,,,,,priced,1299,12.99,99,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Booster-Pack-Tin/Blue-Eyes-White-Dragon-V-2,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Booster-Pack-Tin/Blue-Eyes-White-Dragon-V-2,Booster Pack Tin,Blue Eyes White Dragon V 2,V2,,,,,,priced,385,3.85,149,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Dark-Beginning-1/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Dark-Beginning-1/Blue-Eyes-White-Dragon,Dark Beginning 1,Blue Eyes White Dragon,,,,,,,priced,79,0.79,146,versions|search,no,,,,2026-08-04
